dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,mean_average_precision,average_precision_at_iou_50
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1283,0.95555556,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1377,0.93788755,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1608,0.9833333,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1582,1.0,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1444,0.973913,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1599,0.91107655,0.94736844
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1418,0.89987195,0.9705882
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1385,0.87,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1237,0.55178577,0.5714286
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1283,0.925,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1377,0.9182266,0.96428573
PV_in_HC,unet_2019,0,1,1,2,2,1608,0.9263158,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1582,0.87064284,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1444,0.8511077,0.95238096
PV_in_HC,unet_2019,0,1,1,2,2,1599,0.8789474,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1418,0.8848338,0.9722222
PV_in_HC,unet_2019,0,1,1,2,2,1385,0.95,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1237,0.8519481,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1283,0.5516666,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1377,0.75444657,0.93333334
PV_in_HC,unet_2019,1,1,1,3,3,1608,0.8197802,0.9166667
PV_in_HC,unet_2019,1,1,1,3,3,1582,0.8146273,0.95652175
PV_in_HC,unet_2019,1,1,1,3,3,1444,0.8289374,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1599,0.87037593,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1418,0.8735863,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1385,0.95,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1237,0.8138528,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1283,0.57186514,0.85714287
PV_in_HC,unet_2019,1,1,1,3,3,1377,0.7909581,0.9655172
PV_in_HC,unet_2019,2,2,2,3,3,1608,0.8186717,0.9166667
PV_in_HC,unet_2019,2,2,2,3,3,1582,0.8430613,0.95652175
PV_in_HC,unet_2019,2,2,2,3,3,1444,0.8324558,0.95238096
PV_in_HC,unet_2019,2,2,2,3,3,1599,0.86398757,1.0
PV_in_HC,unet_2019,2,2,2,3,3,1418,0.86625797,0.9722222
PV_in_HC,unet_2019,2,2,2,3,3,1385,0.95,1.0
PV_in_HC,unet_2019,2,2,2,3,3,1237,0.8305195,1.0
PV_in_HC,unet_2019,2,2,2,3,3,1283,0.5517136,0.85714287
PV_in_HC,unet_2019,2,2,2,3,3,1377,0.710729,0.9032258
PV_in_HC,nnunet,0,1,1,2,2,1608,1.0,1.0
PV_in_HC,nnunet,0,1,1,2,2,1582,0.9916667,1.0
PV_in_HC,nnunet,0,1,1,2,2,1444,0.9818182,1.0
PV_in_HC,nnunet,0,1,1,2,2,1599,0.94736844,0.94736844
PV_in_HC,nnunet,0,1,1,2,2,1418,0.93918914,0.9444444
PV_in_HC,nnunet,0,1,1,2,2,1385,1.0,1.0
PV_in_HC,nnunet,0,1,1,2,2,1237,0.875,0.875
PV_in_HC,nnunet,0,1,1,2,2,1283,0.73055553,0.75
PV_in_HC,nnunet,0,1,1,2,2,1377,0.9444171,0.96428573
PV_in_HC,nnunet,1,1,1,3,3,1608,1.0,1.0
PV_in_HC,nnunet,1,1,1,3,3,1582,0.9916667,1.0
PV_in_HC,nnunet,1,1,1,3,3,1444,0.9909091,1.0
PV_in_HC,nnunet,1,1,1,3,3,1599,1.0,1.0
PV_in_HC,nnunet,1,1,1,3,3,1418,0.9619883,1.0
PV_in_HC,nnunet,1,1,1,3,3,1385,1.0,1.0
PV_in_HC,nnunet,1,1,1,3,3,1237,0.91111106,1.0
PV_in_HC,nnunet,1,1,1,3,3,1283,0.7875,0.85714287
PV_in_HC,nnunet,1,1,1,3,3,1377,0.9511905,0.96428573
PV_in_HC,nnunet,2,2,2,3,3,1608,1.0,1.0
PV_in_HC,nnunet,2,2,2,3,3,1582,0.984,1.0
PV_in_HC,nnunet,2,2,2,3,3,1444,0.9909091,1.0
PV_in_HC,nnunet,2,2,2,3,3,1599,0.94736844,0.94736844
PV_in_HC,nnunet,2,2,2,3,3,1418,0.93918914,0.9444444
PV_in_HC,nnunet,2,2,2,3,3,1385,1.0,1.0
PV_in_HC,nnunet,2,2,2,3,3,1237,0.875,0.875
PV_in_HC,nnunet,2,2,2,3,3,1283,0.8339286,0.85714287
PV_in_HC,nnunet,2,2,2,3,3,1377,0.9790641,1.0
PV_in_HC,deepflash2,0,1,1,2,2,1237,0.8571428,0.85714287
PV_in_HC,deepflash2,0,1,1,2,2,1444,0.9735178,1.0
PV_in_HC,deepflash2,0,1,1,2,2,1418,0.9837837,1.0
PV_in_HC,deepflash2,0,1,1,2,2,1283,1.0,1.0
PV_in_HC,deepflash2,0,1,1,2,2,1599,0.95,0.95
PV_in_HC,deepflash2,0,1,1,2,2,1377,0.91597223,0.9375
PV_in_HC,deepflash2,0,1,1,2,2,1582,0.9565218,0.95652175
PV_in_HC,deepflash2,0,1,1,2,2,1385,1.0,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1237,0.9305555,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1444,1.0,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1418,0.97866285,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1283,1.0,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1599,0.8091356,0.95238096
PV_in_HC,deepflash2,1,1,1,3,3,1377,0.93910426,0.9677419
PV_in_HC,deepflash2,1,1,1,3,3,1582,0.9423334,1.0
PV_in_HC,deepflash2,1,1,1,3,3,1385,0.75,0.75
PV_in_HC,deepflash2,2,2,2,3,3,1237,0.81071436,0.85714287
PV_in_HC,deepflash2,2,2,2,3,3,1582,0.9565218,0.95652175
PV_in_HC,deepflash2,2,2,2,3,3,1377,0.9442304,0.9677419
PV_in_HC,deepflash2,2,2,2,3,3,1599,0.83549786,0.9047619
PV_in_HC,deepflash2,2,2,2,3,3,1444,0.9727273,1.0
PV_in_HC,deepflash2,2,2,2,3,3,1385,0.75,0.75
PV_in_HC,deepflash2,2,2,2,3,3,1418,0.9894737,1.0
PV_in_HC,deepflash2,2,2,2,3,3,1283,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1608,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1582,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1444,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1599,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1418,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1385,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1237,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1283,1.0,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1377,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1608,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1582,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1444,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1599,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1418,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1385,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1237,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1283,1.0,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1377,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1608,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1582,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1444,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1599,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1418,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1385,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1237,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1283,1.0,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1377,1.0,1.0
cFOS_in_HC,cellpose_single,0,1,1,2,2,1608,0.7910665,0.875
cFOS_in_HC,cellpose_single,0,1,1,2,2,1582,0.8070313,1.0
cFOS_in_HC,cellpose_single,0,1,1,2,2,1444,0.674801,0.90625
cFOS_in_HC,cellpose_single,0,1,1,2,2,1599,0.6804353,0.85714287
cFOS_in_HC,cellpose_single,0,1,1,2,2,1418,0.78614455,0.9166667
cFOS_in_HC,cellpose_single,0,1,1,2,2,1385,0.85645324,0.9444444
cFOS_in_HC,cellpose_single,0,1,1,2,2,1237,0.75898814,0.92391306
cFOS_in_HC,cellpose_single,0,1,1,2,2,1283,0.7962556,0.884058
cFOS_in_HC,cellpose_single,0,1,1,2,2,1377,0.6325031,0.84
cFOS_in_HC,cellpose_single,1,1,1,3,3,1608,0.79179186,0.88135594
cFOS_in_HC,cellpose_single,1,1,1,3,3,1582,0.6743363,0.85714287
cFOS_in_HC,cellpose_single,1,1,1,3,3,1444,0.63029677,0.84375
cFOS_in_HC,cellpose_single,1,1,1,3,3,1599,0.6585821,0.8181818
cFOS_in_HC,cellpose_single,1,1,1,3,3,1418,0.8487319,0.95652175
cFOS_in_HC,cellpose_single,1,1,1,3,3,1385,0.7672841,0.9189189
cFOS_in_HC,cellpose_single,1,1,1,3,3,1237,0.7579247,0.9130435
cFOS_in_HC,cellpose_single,1,1,1,3,3,1283,0.79591733,0.89705884
cFOS_in_HC,cellpose_single,1,1,1,3,3,1377,0.6339053,0.8333333
cFOS_in_HC,cellpose_single,2,2,2,3,3,1608,0.8769394,0.9586777
cFOS_in_HC,cellpose_single,2,2,2,3,3,1582,0.679145,0.85714287
cFOS_in_HC,cellpose_single,2,2,2,3,3,1444,0.7742592,0.93333334
cFOS_in_HC,cellpose_single,2,2,2,3,3,1599,0.7359826,0.8636364
cFOS_in_HC,cellpose_single,2,2,2,3,3,1418,0.8972332,0.95652175
cFOS_in_HC,cellpose_single,2,2,2,3,3,1385,0.8409017,0.92105263
cFOS_in_HC,cellpose_single,2,2,2,3,3,1237,0.8480547,0.96666664
cFOS_in_HC,cellpose_single,2,2,2,3,3,1283,0.86778116,0.95652175
cFOS_in_HC,cellpose_single,2,2,2,3,3,1377,0.4440163,0.59375
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1608,0.85705435,0.904
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1582,0.84068185,0.95
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1444,0.7633787,0.93333334
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1599,0.8085613,0.94736844
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1418,0.84309757,0.9166667
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1385,0.9142685,1.0
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1237,0.8348029,0.94505495
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1283,0.8484374,0.94285715
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1377,0.79543453,0.9310345
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1608,0.8746484,0.92561984
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1582,0.9057142,1.0
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1444,0.76087284,0.9032258
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1599,0.6892873,0.85714287
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1418,0.7922169,0.88
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1385,0.87090933,0.9459459
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1237,0.85356456,0.9777778
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1283,0.8653582,0.95652175
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1377,0.83452255,0.9310345
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1608,0.88984096,0.9596774
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1582,0.84099376,0.95
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1444,0.8272212,0.9032258
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1599,0.7262885,0.8095238
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1418,0.8839464,0.96
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1385,0.9098668,0.9459459
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1237,0.8552557,0.96703297
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1283,0.8908596,0.95714283
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1377,0.87503326,1.0
cFOS_in_HC,unet_2019,0,1,1,2,2,1608,0.71460277,0.9266055
cFOS_in_HC,unet_2019,0,1,1,2,2,1582,0.6217725,0.86206895
cFOS_in_HC,unet_2019,0,1,1,2,2,1444,0.40424162,0.6
cFOS_in_HC,unet_2019,0,1,1,2,2,1599,0.4659078,0.7586207
cFOS_in_HC,unet_2019,0,1,1,2,2,1418,0.47137624,0.7083333
cFOS_in_HC,unet_2019,0,1,1,2,2,1385,0.6636005,0.82222223
cFOS_in_HC,unet_2019,0,1,1,2,2,1237,0.5362853,0.7478261
cFOS_in_HC,unet_2019,0,1,1,2,2,1283,0.6355632,0.7804878
cFOS_in_HC,unet_2019,0,1,1,2,2,1377,0.5693168,0.84090906
cFOS_in_HC,unet_2019,1,1,1,3,3,1608,0.73022187,0.93457943
cFOS_in_HC,unet_2019,1,1,1,3,3,1582,0.5499691,0.8484849
cFOS_in_HC,unet_2019,1,1,1,3,3,1444,0.6074927,0.8333333
cFOS_in_HC,unet_2019,1,1,1,3,3,1599,0.5118472,0.7096774
cFOS_in_HC,unet_2019,1,1,1,3,3,1418,0.4507645,0.6730769
cFOS_in_HC,unet_2019,1,1,1,3,3,1385,0.6943453,0.9318182
cFOS_in_HC,unet_2019,1,1,1,3,3,1237,0.57667744,0.82608694
cFOS_in_HC,unet_2019,1,1,1,3,3,1283,0.7190997,0.9594595
cFOS_in_HC,unet_2019,1,1,1,3,3,1377,0.63105017,0.9148936
cFOS_in_HC,unet_2019,2,2,2,3,3,1608,0.72838145,0.9351852
cFOS_in_HC,unet_2019,2,2,2,3,3,1582,0.53541327,0.72727275
cFOS_in_HC,unet_2019,2,2,2,3,3,1444,0.40688905,0.6
cFOS_in_HC,unet_2019,2,2,2,3,3,1599,0.47583324,0.71428573
cFOS_in_HC,unet_2019,2,2,2,3,3,1418,0.4501657,0.6415094
cFOS_in_HC,unet_2019,2,2,2,3,3,1385,0.70420045,0.88372093
cFOS_in_HC,unet_2019,2,2,2,3,3,1237,0.58647805,0.7787611
cFOS_in_HC,unet_2019,2,2,2,3,3,1283,0.6343607,0.79012346
cFOS_in_HC,unet_2019,2,2,2,3,3,1377,0.53285277,0.7708333
cFOS_in_HC,nnunet,0,1,1,2,2,1608,0.9078439,0.9512195
cFOS_in_HC,nnunet,0,1,1,2,2,1582,0.73204666,0.84
cFOS_in_HC,nnunet,0,1,1,2,2,1444,0.75415635,0.89285713
cFOS_in_HC,nnunet,0,1,1,2,2,1599,0.7201533,0.9444444
cFOS_in_HC,nnunet,0,1,1,2,2,1418,0.7189596,0.8214286
cFOS_in_HC,nnunet,0,1,1,2,2,1385,0.9401163,0.9722222
cFOS_in_HC,nnunet,0,1,1,2,2,1237,0.715556,0.84705883
cFOS_in_HC,nnunet,0,1,1,2,2,1283,0.9448282,0.984127
cFOS_in_HC,nnunet,0,1,1,2,2,1377,0.8914943,0.9310345
cFOS_in_HC,nnunet,1,1,1,3,3,1608,0.8640934,0.9126984
cFOS_in_HC,nnunet,1,1,1,3,3,1582,0.7619185,0.84615386
cFOS_in_HC,nnunet,1,1,1,3,3,1444,0.68598455,0.86206895
cFOS_in_HC,nnunet,1,1,1,3,3,1599,0.76842105,0.9444444
cFOS_in_HC,nnunet,1,1,1,3,3,1418,0.6676155,0.76666665
cFOS_in_HC,nnunet,1,1,1,3,3,1385,0.9508772,1.0
cFOS_in_HC,nnunet,1,1,1,3,3,1237,0.77904105,0.925
cFOS_in_HC,nnunet,1,1,1,3,3,1283,0.9400756,0.984127
cFOS_in_HC,nnunet,1,1,1,3,3,1377,0.90753967,0.96428573
cFOS_in_HC,nnunet,2,2,2,3,3,1608,0.87437534,0.912
cFOS_in_HC,nnunet,2,2,2,3,3,1582,0.7561606,0.92
cFOS_in_HC,nnunet,2,2,2,3,3,1444,0.7146677,0.8333333
cFOS_in_HC,nnunet,2,2,2,3,3,1599,0.83056134,1.0
cFOS_in_HC,nnunet,2,2,2,3,3,1418,0.77635324,0.8518519
cFOS_in_HC,nnunet,2,2,2,3,3,1385,0.93871725,0.9722222
cFOS_in_HC,nnunet,2,2,2,3,3,1237,0.7207471,0.87058824
cFOS_in_HC,nnunet,2,2,2,3,3,1283,0.95578414,1.0
cFOS_in_HC,nnunet,2,2,2,3,3,1377,0.8402419,0.9
cFOS_in_HC,deepflash2,0,1,1,2,2,1283,0.9446014,0.98571426
cFOS_in_HC,deepflash2,0,1,1,2,2,1385,0.9230769,0.9230769
cFOS_in_HC,deepflash2,0,1,1,2,2,1418,0.8169476,0.9310345
cFOS_in_HC,deepflash2,0,1,1,2,2,1237,0.89508474,0.95098037
cFOS_in_HC,deepflash2,0,1,1,2,2,1444,0.8161743,0.9142857
cFOS_in_HC,deepflash2,0,1,1,2,2,1599,0.93816423,1.0
cFOS_in_HC,deepflash2,0,1,1,2,2,1582,0.86357766,0.9130435
cFOS_in_HC,deepflash2,0,1,1,2,2,1377,0.7673977,0.84210527
cFOS_in_HC,deepflash2,1,1,1,3,3,1283,0.9564389,1.0
cFOS_in_HC,deepflash2,1,1,1,3,3,1385,0.9438259,0.9736842
cFOS_in_HC,deepflash2,1,1,1,3,3,1418,0.8544958,0.9310345
cFOS_in_HC,deepflash2,1,1,1,3,3,1237,0.89154494,0.9514563
cFOS_in_HC,deepflash2,1,1,1,3,3,1444,0.8455331,0.94285715
cFOS_in_HC,deepflash2,1,1,1,3,3,1599,0.923336,1.0
cFOS_in_HC,deepflash2,1,1,1,3,3,1582,0.91397095,1.0
cFOS_in_HC,deepflash2,1,1,1,3,3,1377,0.81654453,0.8648649
cFOS_in_HC,deepflash2,2,2,2,3,3,1237,0.9060894,0.9611651
cFOS_in_HC,deepflash2,2,2,2,3,3,1283,0.9567051,0.98571426
cFOS_in_HC,deepflash2,2,2,2,3,3,1385,0.8907317,0.9
cFOS_in_HC,deepflash2,2,2,2,3,3,1582,0.8449415,1.0
cFOS_in_HC,deepflash2,2,2,2,3,3,1599,0.8918745,1.0
cFOS_in_HC,deepflash2,2,2,2,3,3,1444,0.8317857,0.9166667
cFOS_in_HC,deepflash2,2,2,2,3,3,1377,0.78609574,0.9230769
cFOS_in_HC,deepflash2,2,2,2,3,3,1418,0.9271385,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2366,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2359,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2368,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2364,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2363,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2355,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2354,1.0,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2365,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2366,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2359,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2368,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2364,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2363,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2355,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2354,1.0,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2365,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2366,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2359,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2368,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2364,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2363,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2355,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2354,1.0,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2365,1.0,1.0
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2366,0.5889015,0.7529412
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2359,0.488959,0.7007874
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2368,0.6034647,0.78494626
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2364,0.6227276,0.8292683
