idx,dataset,method,repetition,repetition_name,mean_average_precision,average_precision_at_iou_50,expert_min,expert_mean,expert_max,expert_comparison
1582,PV_in_HC,cellpose_single,1,1,0.6500138,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,cellpose_single,2,2,0.6686658,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,cellpose_single,3,3,0.67828125,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1599,PV_in_HC,cellpose_single,1,1,0.5707888,0.8095238,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,cellpose_single,2,2,0.5634221,0.7619048,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,cellpose_single,3,3,0.57882863,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1237,PV_in_HC,cellpose_ensemble,1,1,0.7539683,1.0,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1237,PV_in_HC,cellpose_ensemble,2,2,0.45972222,0.5714286,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
1237,PV_in_HC,cellpose_ensemble,3,3,0.8111111,1.0,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1283,PV_in_HC,cellpose_ensemble,1,1,0.39661798,0.54545456,0.3907308280467987,0.5018249750137329,0.6097727417945862,in expert range
1283,PV_in_HC,cellpose_ensemble,2,2,0.4165801,0.54545456,0.3907308280467987,0.5018249750137329,0.6097727417945862,in expert range
1283,PV_in_HC,cellpose_ensemble,3,3,0.4165801,0.54545456,0.3907308280467987,0.5018249750137329,0.6097727417945862,in expert range
1377,PV_in_HC,cellpose_ensemble,1,1,0.5221156,0.7647059,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,cellpose_ensemble,2,2,0.54956037,0.7941176,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,cellpose_ensemble,3,3,0.5405366,0.7647059,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1385,PV_in_HC,cellpose_ensemble,1,1,0.75,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,cellpose_ensemble,2,2,0.71999997,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,cellpose_ensemble,3,3,0.8,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1418,PV_in_HC,cellpose_ensemble,1,1,0.6278943,0.81578946,0.6315997242927551,0.7157982587814331,0.788036048412323,below worst expert
1418,PV_in_HC,cellpose_ensemble,2,2,0.6310636,0.84210527,0.6315997242927551,0.7157982587814331,0.788036048412323,below worst expert
1418,PV_in_HC,cellpose_ensemble,3,3,0.63706577,0.8648649,0.6315997242927551,0.7157982587814331,0.788036048412323,in expert range
1444,PV_in_HC,cellpose_ensemble,1,1,0.7338864,0.95238096,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,cellpose_ensemble,2,2,0.763961,1.0,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,cellpose_ensemble,3,3,0.7795085,1.0,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1582,PV_in_HC,cellpose_ensemble,1,1,0.6680676,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,cellpose_ensemble,2,2,0.67573416,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,cellpose_ensemble,3,3,0.6763155,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1599,PV_in_HC,cellpose_ensemble,1,1,0.57882863,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,cellpose_ensemble,2,2,0.58243144,0.85714287,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,cellpose_ensemble,3,3,0.58909947,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1237,PV_in_HC,unet_2019,1,1,0.53829366,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
1237,PV_in_HC,unet_2019,2,2,0.53829366,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
