idx,dataset,method,repetition,repetition_name,dice_score,uncertainty_score,expert_min,expert_mean,expert_max,expert_comparison
1237,PV_in_HC,otsu,1,default,0.013707482476013808,,0.7993680884676145,0.9197282261538693,0.9719070772555376,below worst expert
1237,PV_in_HC,otsu,2,default,0.013707482476013808,,0.7993680884676145,0.9197282261538693,0.9719070772555376,below worst expert
1237,PV_in_HC,otsu,3,default,0.013707482476013808,,0.7993680884676145,0.9197282261538693,0.9719070772555376,below worst expert
1283,PV_in_HC,otsu,1,default,0.022940744999306147,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1283,PV_in_HC,otsu,2,default,0.022940744999306147,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1283,PV_in_HC,otsu,3,default,0.022940744999306147,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1377,PV_in_HC,otsu,1,default,0.13226985132660413,,0.7973695315796877,0.8744655406594914,0.9355710678746472,below worst expert
1377,PV_in_HC,otsu,2,default,0.13226985132660413,,0.7973695315796877,0.8744655406594914,0.9355710678746472,below worst expert
1377,PV_in_HC,otsu,3,default,0.13226985132660413,,0.7973695315796877,0.8744655406594914,0.9355710678746472,below worst expert
1385,PV_in_HC,otsu,1,default,0.0038456268875364918,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1385,PV_in_HC,otsu,2,default,0.0038456268875364918,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1385,PV_in_HC,otsu,3,default,0.0038456268875364918,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1418,PV_in_HC,otsu,1,default,0.22191043908112823,,0.8936616716398335,0.9215178651885074,0.9431300776716364,below worst expert
1418,PV_in_HC,otsu,2,default,0.22191043908112823,,0.8936616716398335,0.9215178651885074,0.9431300776716364,below worst expert
1418,PV_in_HC,otsu,3,default,0.22191043908112823,,0.8936616716398335,0.9215178651885074,0.9431300776716364,below worst expert
1444,PV_in_HC,otsu,1,default,0.10196962378575644,,0.8639385912752041,0.9227000818859658,0.961905286950769,below worst expert
1444,PV_in_HC,otsu,2,default,0.10196962378575644,,0.8639385912752041,0.9227000818859658,0.961905286950769,below worst expert
1444,PV_in_HC,otsu,3,default,0.10196962378575644,,0.8639385912752041,0.9227000818859658,0.961905286950769,below worst expert
1582,PV_in_HC,otsu,1,default,0.16045822102425875,,0.8808637683530326,0.9121408780267384,0.9410504571362992,below worst expert
1582,PV_in_HC,otsu,2,default,0.16045822102425875,,0.8808637683530326,0.9121408780267384,0.9410504571362992,below worst expert
1582,PV_in_HC,otsu,3,default,0.16045822102425875,,0.8808637683530326,0.9121408780267384,0.9410504571362992,below worst expert
1599,PV_in_HC,otsu,1,default,0.15477682707504498,,0.8918500892325997,0.9218135508319438,0.9348621348621348,below worst expert
1599,PV_in_HC,otsu,2,default,0.15477682707504498,,0.8918500892325997,0.9218135508319438,0.9348621348621348,below worst expert
1599,PV_in_HC,otsu,3,default,0.15477682707504498,,0.8918500892325997,0.9218135508319438,0.9348621348621348,below worst expert
1237,PV_in_HC,cellpose,1,cyto,0.8680400890868596,,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1237,PV_in_HC,cellpose,2,cyto,0.8680400890868596,,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1237,PV_in_HC,cellpose,3,cyto,0.8680400890868596,,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1283,PV_in_HC,cellpose,1,cyto,0.6891175553476769,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1283,PV_in_HC,cellpose,2,cyto,0.6891175553476769,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1283,PV_in_HC,cellpose,3,cyto,0.6891175553476769,,0.7786803160120174,0.8259518467884103,0.8909952606635071,below worst expert
1377,PV_in_HC,cellpose,1,cyto,0.8103878500354271,,0.7973695315796877,0.8744655406594914,0.9355710678746472,in expert range
1377,PV_in_HC,cellpose,2,cyto,0.8103878500354271,,0.7973695315796877,0.8744655406594914,0.9355710678746472,in expert range
1377,PV_in_HC,cellpose,3,cyto,0.8103878500354271,,0.7973695315796877,0.8744655406594914,0.9355710678746472,in expert range
1385,PV_in_HC,cellpose,1,cyto,0.44428891377379615,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1385,PV_in_HC,cellpose,2,cyto,0.44428891377379615,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1385,PV_in_HC,cellpose,3,cyto,0.44428891377379615,,0.8136526286815303,0.9190299902764014,0.9642857142857144,below worst expert
1418,PV_in_HC,cellpose,1,cyto,0.9082336902496522,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1418,PV_in_HC,cellpose,2,cyto,0.9082336902496522,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1418,PV_in_HC,cellpose,3,cyto,0.9082336902496522,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1444,PV_in_HC,cellpose,1,cyto,0.9159861895106045,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1444,PV_in_HC,cellpose,2,cyto,0.9159861895106045,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1444,PV_in_HC,cellpose,3,cyto,0.9159861895106045,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1582,PV_in_HC,cellpose,1,cyto,0.9006076229055423,,0.8808637683530326,0.9121408780267384,0.9410504571362992,in expert range
