dataset,method,repetition,repetition_name,idx,uncertainty_score,dice_score_class0,dice_score_class1,dice_score_class2,average_dice_score,dice_score_class3
gleason,deepflash2,1,1,slide005_core029,0.42212725,0.7318242204243526,0.7615265610127299,0.0,0.49778359381236087,
gleason,deepflash2,1,1,slide001_core039,0.20825967,0.9466710369289332,0.8510408603153066,0.9510503496002215,0.9162540822814872,
gleason,deepflash2,1,1,slide001_core011,0.47944587,0.7195223892411665,0.047648932886746286,0.4818123544687902,0.41632789219890104,
gleason,deepflash2,1,1,slide001_core010,0.13398488,0.9359540545953664,,0.9511502317635363,0.6290347621196343,0.0
gleason,deepflash2,2,2,slide003_core067,,0.8069480076511996,0.8310677799923967,0.908406075918678,0.8488072878540914,
gleason,deepflash2,2,2,slide006_core109,,0.9119300741164705,0.9508686601776264,,0.9313993671470484,
gleason,deepflash2,2,2,slide006_core114,,0.9592169680188906,,0.973392396438788,0.9663046822288393,
gleason,deepflash2,2,2,slide002_core067,,0.9295371869740112,0.8179949214861834,0.0,0.5825107028200649,
gleason,deepflash2,2,2,slide006_core023,,0.8581065618045592,0.8801902169754721,,0.8691483893900156,
gleason,deepflash2,2,2,slide006_core102,,0.957386597339211,0.6529595163714628,0.9615913747828688,0.8573124961645142,
gleason,deepflash2,2,2,slide002_core084,,0.8344632916007388,0.6757932497870792,0.6186077096555532,0.7096214170144571,
gleason,deepflash2,2,2,slide006_core125,,0.8939043452479196,0.6305752788034813,0.7236502343132577,0.7493766194548862,
gleason,deepflash2,2,2,slide003_core134,,0.8520186808441876,0.8633937588798165,,0.857706219862002,
gleason,deepflash2,2,2,slide005_core045,,0.8744171615666234,0.0,0.781249698892173,0.5518889534862654,
gleason,deepflash2,2,2,slide001_core095,,0.9556333208048563,0.7221304776704186,0.750124660233342,0.8092961529028724,
gleason,deepflash2,2,2,slide006_core086,,0.7747188785094118,0.1569105772529864,0.0,0.3105431519207994,
gleason,deepflash2,2,2,slide003_core055,,0.8965106949736266,0.8138784132114038,0.5724402604150216,0.7609431228666841,
gleason,deepflash2,2,2,slide001_core059,,0.9451022697769486,0.7894819321236337,0.7143037567622855,0.8162959862209559,
gleason,deepflash2,2,2,slide006_core108,,0.9337199353522002,0.8864458464964383,,0.9100828909243193,
gleason,deepflash2,2,2,slide003_core135,,0.9714358732850015,0.0,0.816864067914307,0.5960999803997695,
gleason,deepflash2,2,2,slide005_core021,,0.9665964320213315,0.8938852497951347,0.40195974586966615,0.7541471425620441,
gleason,deepflash2,2,2,slide003_core097,,0.9628158362515801,,0.9769478290805647,0.9698818326660723,
gleason,deepflash2,2,2,slide001_core005,,0.9685633334771464,,0.9803151365954913,0.9744392350363189,
gleason,deepflash2,2,2,slide001_core004,,0.9505810439342676,,0.963156341333367,0.9568686926338172,
gleason,deepflash2,2,2,slide001_core014,,0.9704791590132283,0.7537563616017267,0.1695439367189765,0.6312598191113105,
gleason,deepflash2,2,2,slide006_core110,,0.9412168969349439,0.8325212949310171,0.8591868136472156,0.8776416685043923,
gleason,deepflash2,2,2,slide002_core050,,0.9896510191851801,0.0,0.951562823848533,0.6470712810112377,
gleason,deepflash2,2,2,slide002_core074,,0.9292579362713854,,0.0696725332645914,0.33297682317865895,0.0
gleason,deepflash2,2,2,slide007_core047,,0.9326907909814578,0.3479015154234261,0.4500193554215621,0.5768705539421487,
gleason,deepflash2,2,2,slide005_core147,,0.8953674867460972,0.7264569518390648,0.6929655484459839,0.7715966623437153,
gleason,deepflash2,2,2,slide007_core055,,0.8449696005467943,0.6720600742359565,,0.7585148373913754,
gleason,deepflash2,2,2,slide005_core122,,0.9020341947839725,0.9058106699549922,0.0,0.6026149549129882,
gleason,deepflash2,2,2,slide006_core113,,0.9175004933430345,0.8440483531420696,0.9378241860312201,0.8997910108387748,
gleason,deepflash2,2,2,slide006_core142,,0.8698664261224512,0.0,0.7684106676590403,0.5460923645938305,
gleason,deepflash2,2,2,slide005_core038,,0.8158361900402693,0.8026992028681212,,0.8092676964541953,
gleason,deepflash2,2,2,slide005_core051,,0.9474430721599033,0.9627261813051691,0.0,0.6367230844883575,
gleason,deepflash2,2,2,slide005_core064,,0.9494346086052861,0.7586882558333317,0.4433483726981581,0.717157079045592,
gleason,deepflash2,2,2,slide003_core114,,0.8340790720631457,0.0,0.0,0.2780263573543819,
gleason,deepflash2,2,2,slide006_core105,,0.9365592343101151,0.9484576831953853,,0.9425084587527501,
gleason,deepflash2,2,2,slide005_core018,,0.9608384154236467,,0.9576988832376941,0.9592686493306704,
gleason,deepflash2,2,2,slide005_core057,,0.9515955912298715,0.4694211070093046,0.8596754031950674,0.7602307004780812,
gleason,deepflash2,2,2,slide002_core096,,0.9776370798236238,0.9863766247853105,,0.9820068523044672,
gleason,deepflash2,2,2,slide002_core041,,0.9630447637687716,,0.9712373462059334,0.9671410549873525,
gleason,deepflash2,2,2,slide003_core136,,0.9610593297293121,0.0,0.0,0.3203531099097707,
gleason,deepflash2,2,2,slide001_core030,,0.9633723362636836,,0.9756166287519713,0.9694944825078274,
gleason,deepflash2,2,2,slide002_core062,,0.9164122611233728,0.8793488612569986,0.0,0.5985870407934571,
gleason,deepflash2,2,2,slide006_core016,,0.7839410534626523,0.24234090071181336,0.8637328110165642,0.6300049217303433,
gleason,deepflash2,2,2,slide005_core017,,0.9787552758007215,,0.9783843827081372,0.9785698292544294,
gleason,deepflash2,2,2,slide007_core056,,0.8971412277089894,0.9340422800376583,,0.9155917538733238,
gleason,deepflash2,2,2,slide005_core029,,0.8365602528794244,0.7939512007529952,0.0,0.5435038178774731,
gleason,deepflash2,2,2,slide001_core039,,0.944478427742067,0.8566927111206251,0.9540539848653591,0.9184083745760171,
gleason,deepflash2,2,2,slide001_core011,,0.6589147518651007,0.09268502890796135,0.3473882936899646,0.36632935815434226,
gleason,deepflash2,2,2,slide001_core010,,0.9376884979528635,,0.9522898305329373,0.6299927761619336,0.0
gleason,deepflash2,3,3,slide003_core067,,0.8259477546252518,0.8586625408694722,0.8702338908920425,0.8516147287955889,
gleason,deepflash2,3,3,slide006_core109,,0.8973711801716474,0.9447434057398516,,0.9210572929557495,
gleason,deepflash2,3,3,slide006_core114,,0.9644527465803904,,0.9765205389990087,0.9704866427896995,
gleason,deepflash2,3,3,slide002_core067,,0.9082340790261808,0.819012249509968,0.0,0.5757487761787162,
gleason,deepflash2,3,3,slide006_core023,,0.881715326252001,0.9054083862401189,,0.8935618562460599,
gleason,deepflash2,3,3,slide006_core102,,0.9545012270134176,0.6501594596814733,0.9563263696225178,0.8536623521058028,
gleason,deepflash2,3,3,slide002_core084,,0.8326969993071911,0.7138200426724534,0.5622635758673824,0.7029268726156755,
gleason,deepflash2,3,3,slide006_core125,,0.9085390453021193,0.5994545272299406,0.3695585187424776,0.6258506970915124,
gleason,deepflash2,3,3,slide003_core134,,0.8765845526267985,0.8945213324387414,,0.88555294253277,
gleason,deepflash2,3,3,slide005_core045,,0.8257262198989216,0.0,0.6309849108028541,0.4855703769005919,
gleason,deepflash2,3,3,slide001_core095,,0.9584533018813381,0.7858124287931461,0.745803713681027,0.8300231481185038,
gleason,deepflash2,3,3,slide006_core086,,0.768213228368883,0.24441843152022277,0.0,0.33754388662970186,
gleason,deepflash2,3,3,slide003_core055,,0.8876869968833583,0.8874715353300558,0.6152990622530652,0.7968191981554931,
gleason,deepflash2,3,3,slide001_core059,,0.9416643375410634,0.8119994147455384,0.7248586276820111,0.8261741266562043,
gleason,deepflash2,3,3,slide006_core108,,0.9399685008432973,0.9043527612010875,,0.9221606310221924,
gleason,deepflash2,3,3,slide003_core135,,0.9715255552004481,0.37330069384960896,0.676208130278329,0.6736781264427955,
gleason,deepflash2,3,3,slide005_core021,,0.9710923307978047,0.8931370209356914,0.4018788039952239,0.7553693852429065,
gleason,deepflash2,3,3,slide003_core097,,0.9655034418082864,,0.9783241664152608,0.9719138041117736,
gleason,deepflash2,3,3,slide001_core005,,0.9684745647820419,,0.9797018032348337,0.9740881840084378,
gleason,deepflash2,3,3,slide001_core004,,0.9498736632811962,,0.9622071333597955,0.9560403983204958,
gleason,deepflash2,3,3,slide001_core014,,0.9671733733569851,0.8893876267525166,0.011356612791318915,0.6226392043002735,
gleason,deepflash2,3,3,slide006_core110,,0.9460667793714194,0.8330194438900489,0.8513019590741053,0.8767960607785246,
gleason,deepflash2,3,3,slide002_core050,,0.9868967250240187,0.0,0.9292899839626768,0.6387289029955652,
gleason,deepflash2,3,3,slide002_core074,,0.9162675539035006,,0.07096533698827151,0.32907763029725734,0.0
gleason,deepflash2,3,3,slide007_core047,,0.911481023755991,0.49756416810617093,0.45468080865431654,0.6212420001721596,
gleason,deepflash2,3,3,slide005_core147,,0.8973462625362045,0.7927997392457811,0.749582827396409,0.8132429430594649,
gleason,deepflash2,3,3,slide007_core055,,0.8300296317756787,0.6614983411816046,,0.7457639864786416,
gleason,deepflash2,3,3,slide005_core122,,0.8954285937276238,0.9175069359242881,0.0,0.604311843217304,
gleason,deepflash2,3,3,slide006_core113,,0.9176487774628519,0.845119454720806,0.9368235656601592,0.8998639326146057,
gleason,deepflash2,3,3,slide006_core142,,0.8723899528475616,0.0,0.7647316407365179,0.5457071978613598,
gleason,deepflash2,3,3,slide005_core038,,0.8387748506825569,0.8413646271507694,,0.8400697389166631,
gleason,deepflash2,3,3,slide005_core051,,0.9468988854742667,0.9654019548905718,,0.9561504201824192,
gleason,deepflash2,3,3,slide005_core064,,0.9548298042765153,0.8105586557868393,0.17400215258366708,0.6464635375490072,
gleason,deepflash2,3,3,slide003_core114,,0.8321655909929773,0.0,0.0,0.2773885303309924,
gleason,deepflash2,3,3,slide006_core105,,0.9313506420651891,0.9469997768250132,,0.9391752094451011,
gleason,deepflash2,3,3,slide005_core018,,0.9601879204045233,0.0,0.9532641515370315,0.6378173573138516,
gleason,deepflash2,3,3,slide005_core057,,0.947451105663066,0.6505811405604282,0.8864241636588709,0.828152136627455,
gleason,deepflash2,3,3,slide002_core096,,0.97786819073808,0.9866137097886026,,0.9822409502633414,
gleason,deepflash2,3,3,slide002_core041,,0.969621497977639,,0.9759346663747424,0.9727780821761907,
gleason,deepflash2,3,3,slide003_core136,,0.9801729093452252,0.029632852970866683,0.0,0.3366019207720306,
gleason,deepflash2,3,3,slide001_core030,,0.9653932213581689,,0.9768612277789562,0.9711272245685625,
gleason,deepflash2,3,3,slide002_core062,,0.9088980303270542,0.8826996946678728,,0.8957988624974635,
gleason,deepflash2,3,3,slide006_core016,,0.8694578269714093,0.7235027735674396,0.8765737084476807,0.8231781029955099,
gleason,deepflash2,3,3,slide005_core017,,0.9778803460339213,,0.9773865729811796,0.9776334595075504,
gleason,deepflash2,3,3,slide007_core056,,0.9310766876945422,0.9586867263514737,,0.944881707023008,
gleason,deepflash2,3,3,slide005_core029,,0.7481049981500751,0.7328543961904028,0.0,0.493653131446826,
gleason,deepflash2,3,3,slide001_core039,,0.9464060260726926,0.8143450154392631,0.9568245461978638,0.9058585292366065,
gleason,deepflash2,3,3,slide001_core011,,0.6705519759925669,0.060374653364419904,0.4718790461990646,0.40093522518535046,
gleason,deepflash2,3,3,slide001_core010,,0.9437520947938723,,0.956282440096184,0.6333448449633522,0.0
gleason,nnunet,1,1,slide003_core067,,0.8268274896431298,0.8541395726694635,0.8921242434552974,0.8576971019226303,
gleason,nnunet,1,1,slide006_core109,,0.8952377722373304,0.9437174800391099,0.0,0.6129850840921468,
gleason,nnunet,1,1,slide006_core114,,0.9557565215927006,0.0,0.9557493695039752,0.6371686303655586,
gleason,nnunet,1,1,slide002_core067,,0.8957838206797825,0.8313789960056747,0.0,0.5757209388951524,
gleason,nnunet,1,1,slide006_core023,,0.8631734805842429,0.8852644115400469,,0.8742189460621449,
gleason,nnunet,1,1,slide006_core102,,0.9529780764433461,0.6505969728109994,0.9629788464091601,0.8555179652211685,
gleason,nnunet,1,1,slide002_core084,,0.8378740648039159,0.7374467692988346,0.735641606143375,0.7703208134153753,
gleason,nnunet,1,1,slide006_core125,,0.8978282862441701,0.603165615540598,0.6318604531401772,0.7109514516416485,
gleason,nnunet,1,1,slide003_core134,,0.8709167577797368,0.9041371550668853,,0.887526956423311,
gleason,nnunet,1,1,slide005_core045,,0.8940726703692753,0.0,0.8832027222181774,0.5924251308624843,
gleason,nnunet,1,1,slide001_core095,,0.9589672837505223,0.6940108958164106,0.5201176885063944,0.7243652893577758,
gleason,nnunet,1,1,slide006_core086,,0.7800387401561266,0.4994440878556058,0.0,0.42649427600391077,
gleason,nnunet,1,1,slide003_core055,,0.8935953358117765,0.7560146414275811,0.516045056711532,0.7218850113169633,
gleason,nnunet,1,1,slide001_core059,,0.9376829607212515,0.7712402600248308,0.6535986549462216,0.7875072918974345,
gleason,nnunet,1,1,slide006_core108,,0.936852286935796,0.8917309158825355,0.0,0.6095277342727772,
gleason,nnunet,1,1,slide003_core135,,0.9780942626131277,0.4673457797755093,0.7657369553098606,0.7370589992328326,
gleason,nnunet,1,1,slide005_core021,,0.9580933497736136,0.9133062892312123,0.5234992923928765,0.7982996437992341,
gleason,nnunet,1,1,slide003_core097,,0.9613613369837752,0.0,0.9737015036362081,0.6450209468733278,
gleason,nnunet,1,1,slide001_core005,,0.9618481271844329,0.0,0.9760832816193287,0.6459771362679205,
gleason,nnunet,1,1,slide001_core004,,0.9435464266731017,0.0,0.9522027299557546,0.6319163855429522,
gleason,nnunet,1,1,slide001_core014,,0.971108862513783,0.8251800838488684,0.1954202109208762,0.6639030524278425,
gleason,nnunet,1,1,slide006_core110,,0.931280603831257,0.8389873845481901,0.8809055169573298,0.8837245017789256,
gleason,nnunet,1,1,slide002_core050,,0.9870985078825102,0.0,0.8498535550915365,0.6123173543246822,
gleason,nnunet,1,1,slide002_core074,,0.9210699062008468,,0.01859318941101813,0.4351939506824489,0.36591875643548183
gleason,nnunet,1,1,slide007_core047,,0.8961787645791846,0.3363643806649728,0.2068774750934715,0.47980687344587625,
gleason,nnunet,1,1,slide005_core147,,0.8965427542753809,0.7347684699938187,0.6391092659191412,0.7568068300627803,
gleason,nnunet,1,1,slide007_core055,,0.833403339406995,0.6541243357178794,,0.7437638375624371,
gleason,nnunet,1,1,slide005_core122,,0.8936779219082684,0.91057909925908,0.0,0.6014190070557829,
gleason,nnunet,1,1,slide006_core113,,0.902577602614836,0.8441398928146696,0.924651740785498,0.8904564120716679,
gleason,nnunet,1,1,slide006_core142,,0.8599060440476297,0.04390908107761353,0.7538454557185306,0.5525535269479246,
gleason,nnunet,1,1,slide005_core038,,0.8500777215086252,0.8546091500919277,0.0,0.5682289572001843,
gleason,nnunet,1,1,slide005_core051,,0.9494851990358412,0.8580735724319899,0.0,0.6025195904892771,
gleason,nnunet,1,1,slide005_core064,,0.9618571613311943,0.7522865516463623,0.583084917332435,0.7657428767699971,
gleason,nnunet,1,1,slide003_core114,,0.8201211596545835,0.0,0.0,0.2733737198848612,
gleason,nnunet,1,1,slide006_core105,,0.9490590933425775,0.9487446668988551,0.0,0.6326012534138109,
gleason,nnunet,1,1,slide005_core018,,0.9557539077241244,0.0,0.9411365632380077,0.6322968236540439,
gleason,nnunet,1,1,slide005_core057,,0.9448553164413108,0.7607530094776774,0.902959039181359,0.869522455033449,
gleason,nnunet,1,1,slide002_core096,,0.9752979638808543,0.9850165325863014,,0.9801572482335779,
gleason,nnunet,1,1,slide002_core041,,0.95798754169226,0.0,0.9673078941393956,0.6417651452772185,
gleason,nnunet,1,1,slide003_core136,,0.9728912244535315,0.003995355134648094,0.5363074687900876,0.504398016126089,
gleason,nnunet,1,1,slide001_core030,,0.9621935695658045,0.0,0.9752747752287492,0.6458227815981846,
gleason,nnunet,1,1,slide002_core062,,0.8633639723155284,0.8113802692862178,0.0,0.5582480805339154,
gleason,nnunet,1,1,slide006_core016,,0.9072912278381247,0.3139867865227846,0.7079241108560402,0.6430673750723165,
gleason,nnunet,1,1,slide005_core017,,0.9491741526228861,0.0,0.9674894978892451,0.6388878835040437,
gleason,nnunet,1,1,slide007_core056,,0.90021251168705,0.9364361917185964,0.0,0.6122162344685488,
gleason,nnunet,1,1,slide005_core029,,0.6924883669913809,0.7506684922348679,0.0,0.48105228640874964,
gleason,nnunet,1,1,slide001_core039,,0.9392863688167404,0.7572271773649387,0.9543999274861188,0.8836378245559326,
gleason,nnunet,1,1,slide001_core011,,0.637986571943713,0.16761780882625119,0.33293133621413623,0.3795119056613668,
gleason,nnunet,1,1,slide001_core010,,0.9391398229736557,0.0,0.9507206838278337,0.47246512670037233,0.0
gleason,nnunet,2,2,slide003_core067,,0.7895908617089099,0.8055031833383003,0.8970521170385036,0.8307153873619045,
gleason,nnunet,2,2,slide006_core109,,0.8836871714036246,0.9341345514749889,0.0,0.6059405742928712,
gleason,nnunet,2,2,slide006_core114,,0.9564104204234514,0.0,0.9547470984818446,0.6370525063017652,
gleason,nnunet,2,2,slide002_core067,,0.8871770743208093,0.8343915779838295,0.0,0.5738562174348796,
gleason,nnunet,2,2,slide006_core023,,0.8626784308000557,0.88502310619993,,0.8738507684999928,
gleason,nnunet,2,2,slide006_core102,,0.9595039791654384,0.7194475492484802,0.9628582019986573,0.660452432603144,0.0
gleason,nnunet,2,2,slide002_core084,,0.8417247699887439,0.749435726081134,0.732917794447452,0.7746927635057766,
gleason,nnunet,2,2,slide006_core125,,0.8961135136510875,0.5882230276121578,0.6041260317420449,0.6961541910017633,
gleason,nnunet,2,2,slide003_core134,,0.8758010526574562,0.9052447241799381,,0.8905228884186971,
gleason,nnunet,2,2,slide005_core045,,0.8973441041169209,0.0,0.8793861767517552,0.5922434269562253,
gleason,nnunet,2,2,slide001_core095,,0.9549957218029586,0.6908830716932374,0.5743991652623597,0.7400926529195185,
gleason,nnunet,2,2,slide006_core086,,0.7810524529910664,0.423278409963393,0.0,0.4014436209848198,
gleason,nnunet,2,2,slide003_core055,,0.8949354431672548,0.7647272933227696,0.5149385165093031,0.7248670843331092,
gleason,nnunet,2,2,slide001_core059,,0.9396334105244342,0.7654755701404378,0.6626042602758583,0.7892377469802434,
gleason,nnunet,2,2,slide006_core108,,0.884031919569646,0.7427565746990672,0.0,0.5422628314229044,
gleason,nnunet,2,2,slide003_core135,,0.974461084796522,0.0,0.7412345057410646,0.5718985301791956,
gleason,nnunet,2,2,slide005_core021,,0.9549451236100307,0.9071921644383266,0.48325093110128053,0.7817960730498793,
gleason,nnunet,2,2,slide003_core097,,0.9591496872562343,0.0,0.9727259444790713,0.6439585439117685,
gleason,nnunet,2,2,slide001_core005,,0.9622692133031163,0.0,0.9760994043581915,0.6461228725537693,
gleason,nnunet,2,2,slide001_core004,,0.9459081042033015,0.0,0.9559294033348784,0.63394583584606,
gleason,nnunet,2,2,slide001_core014,,0.9711436558755241,0.8098056387967679,0.1899307594496019,0.6569600180406313,
gleason,nnunet,2,2,slide006_core110,,0.9284441397726739,0.8290011776215964,0.8711039675559031,0.8761830949833911,
gleason,nnunet,2,2,slide002_core050,,0.9913611903146595,0.0,0.8690144312454945,0.6201252071867179,
gleason,nnunet,2,2,slide002_core074,,0.8996715519552314,,0.06727581450923059,0.34568908667071274,0.07011989354767614
gleason,nnunet,2,2,slide007_core047,,0.8103038439620555,0.21023120298443387,0.3676767764228834,0.46273727445645757,
gleason,nnunet,2,2,slide005_core147,,0.8937047279855271,0.7216028697815671,0.6331230063715653,0.7494768680462198,
gleason,nnunet,2,2,slide007_core055,,0.8383118043005429,0.6466485065606344,,0.7424801554305887,
gleason,nnunet,2,2,slide005_core122,,0.9010100592229442,0.9145121276607943,0.0,0.6051740622945795,
gleason,nnunet,2,2,slide006_core113,,0.9011760810404139,0.8369882308832102,0.9223509827370411,0.886838431553555,
gleason,nnunet,2,2,slide006_core142,,0.8558265055554205,0.022918562956730747,0.7521741675321748,0.5436397453481087,
gleason,nnunet,2,2,slide005_core038,,0.8433189246635078,0.8430116557904243,0.0,0.562110193484644,
gleason,nnunet,2,2,slide005_core051,,0.9485160671107735,0.8579717261337837,0.0,0.6021625977481858,
gleason,nnunet,2,2,slide005_core064,,0.9634835317334524,0.7595305452938307,0.5931876219349919,0.7720672329874251,
gleason,nnunet,2,2,slide003_core114,,0.8809507069595105,0.0,0.0,0.29365023565317017,
gleason,nnunet,2,2,slide006_core105,,0.946188540770525,0.9515983440128013,0.0,0.6325956282611088,
gleason,nnunet,2,2,slide005_core018,,0.8163549846860034,0.0,0.6782758253908302,0.4982102700256112,
gleason,nnunet,2,2,slide005_core057,,0.9432632937795903,0.7752790785219899,0.9069499186814836,0.8751640969943546,
gleason,nnunet,2,2,slide002_core096,,0.9761150972039301,0.9855339287213841,,0.9808245129626572,
gleason,nnunet,2,2,slide002_core041,,0.9588860601713813,,0.9680201465880897,0.9634531033797356,
gleason,nnunet,2,2,slide003_core136,,0.9641589804872659,0.0,0.42552963368489904,0.4632295380573883,
gleason,nnunet,2,2,slide001_core030,,0.9628509691255047,,0.9756067756811625,0.9692288724033336,
gleason,nnunet,2,2,slide002_core062,,0.8704244975834018,0.8131528766447451,0.0,0.5611924580760489,
gleason,nnunet,2,2,slide006_core016,,0.9212761426490461,0.3418795418554983,0.7207411031094904,0.6612989292046783,
gleason,nnunet,2,2,slide005_core017,,0.9739238910815868,,0.9736606942944092,0.973792292687998,
gleason,nnunet,2,2,slide007_core056,,0.8965913453601034,0.9331652239425076,0.0,0.6099188564342036,
gleason,nnunet,2,2,slide005_core029,,0.697791914949041,0.7307991660646909,0.0,0.4761970270045773,
gleason,nnunet,2,2,slide001_core039,,0.9381870493686028,0.7519653470053126,0.9519906389733278,0.8807143451157478,
gleason,nnunet,2,2,slide001_core011,,0.6726734129069363,0.17226463963142677,0.3666207893610201,0.40385294729979443,
gleason,nnunet,2,2,slide001_core010,,0.9395302822848568,0.0,0.9510279897528112,0.472639568009417,0.0
gleason,nnunet,3,3,slide003_core067,,0.824744103395578,0.8498167110418269,0.9026774925121296,0.8590794356498449,
gleason,nnunet,3,3,slide006_core109,,0.886622994707339,0.9352093060720076,0.0,0.6072774335931155,
gleason,nnunet,3,3,slide006_core114,,0.9551145932567833,0.0,0.9494284408584529,0.6348476780384121,
gleason,nnunet,3,3,slide002_core067,,0.892608567521715,0.8390809114509302,0.0,0.5772298263242152,
