dataset,method,repetition,repetition_name,idx,threshold,average_precision
PV_in_HC,cellpose,2,cyto,1599,0.55,0.8095238
PV_in_HC,cellpose,2,cyto,1599,0.6,0.8095238
PV_in_HC,cellpose,2,cyto,1599,0.65,0.8095238
PV_in_HC,cellpose,2,cyto,1599,0.7,0.8095238
PV_in_HC,cellpose,2,cyto,1599,0.75,0.72727275
PV_in_HC,cellpose,2,cyto,1599,0.8,0.65217394
PV_in_HC,cellpose,2,cyto,1599,0.85,0.46153846
PV_in_HC,cellpose,2,cyto,1599,0.8999999999999999,0.26666668
PV_in_HC,cellpose,2,cyto,1599,0.95,0.027027028
PV_in_HC,cellpose,3,cyto,1237,0.5,0.8
PV_in_HC,cellpose,3,cyto,1237,0.55,0.8
PV_in_HC,cellpose,3,cyto,1237,0.6,0.8
PV_in_HC,cellpose,3,cyto,1237,0.65,0.8
PV_in_HC,cellpose,3,cyto,1237,0.7,0.8
PV_in_HC,cellpose,3,cyto,1237,0.75,0.5
PV_in_HC,cellpose,3,cyto,1237,0.8,0.5
PV_in_HC,cellpose,3,cyto,1237,0.85,0.2857143
PV_in_HC,cellpose,3,cyto,1237,0.8999999999999999,0.2857143
PV_in_HC,cellpose,3,cyto,1237,0.95,0.0
PV_in_HC,cellpose,3,cyto,1283,0.5,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.55,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.6,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.65,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.7,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.75,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.8,0.45454547
PV_in_HC,cellpose,3,cyto,1283,0.85,0.33333334
PV_in_HC,cellpose,3,cyto,1283,0.8999999999999999,0.14285715
PV_in_HC,cellpose,3,cyto,1283,0.95,0.0
PV_in_HC,cellpose,3,cyto,1377,0.5,0.65789473
PV_in_HC,cellpose,3,cyto,1377,0.55,0.65789473
PV_in_HC,cellpose,3,cyto,1377,0.6,0.65789473
PV_in_HC,cellpose,3,cyto,1377,0.65,0.65789473
PV_in_HC,cellpose,3,cyto,1377,0.7,0.65789473
PV_in_HC,cellpose,3,cyto,1377,0.75,0.61538464
PV_in_HC,cellpose,3,cyto,1377,0.8,0.61538464
