method,file,subset,exp,dice_score,mean_average_precision,average_precision_at_iou_50,dataset
STAPLE,2375-0_mask.png,test,1,0.8196405400891584,0.09640141576528549,0.24390244483947754,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.8092476694822531,0.24372892081737518,0.4285714328289032,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.8628815611820219,0.23238296806812286,0.4166666567325592,GFAP_in_HC
STAPLE,2375-1_mask.png,test,1,0.8250432290125091,0.21866197884082794,0.4285714328289032,GFAP_in_HC
STAPLE,2375-1_mask.png,test,2,0.8078024080440755,0.24216917157173157,0.35483869910240173,GFAP_in_HC
STAPLE,2375-1_mask.png,test,3,0.8704052536075347,0.2515299320220947,0.4761904776096344,GFAP_in_HC
STAPLE,2376-2_mask.png,test,1,0.8534538204270645,0.21741466224193573,0.4516128897666931,GFAP_in_HC
STAPLE,2376-2_mask.png,test,2,0.9034466772462243,0.43426400423049927,0.5882353186607361,GFAP_in_HC
STAPLE,2376-2_mask.png,test,3,0.8512828762165204,0.2274576723575592,0.48275861144065857,GFAP_in_HC
STAPLE,2376-3_mask.png,test,1,0.7644270670035594,0.15880632400512695,0.4000000059604645,GFAP_in_HC
STAPLE,2376-3_mask.png,test,2,0.8821961295048941,0.2876831293106079,0.4390243887901306,GFAP_in_HC
STAPLE,2376-3_mask.png,test,3,0.868578935844099,0.21203729510307312,0.3611111044883728,GFAP_in_HC
STAPLE,2377-0_mask.png,test,1,0.7980330412559328,0.21454839408397675,0.5625,GFAP_in_HC
STAPLE,2377-0_mask.png,test,2,0.8760321034701772,0.32284820079803467,0.5348837375640869,GFAP_in_HC
STAPLE,2377-0_mask.png,test,3,0.8860814696703327,0.31154483556747437,0.59375,GFAP_in_HC
STAPLE,2377-2_mask.png,test,1,0.8334012656870107,0.2662307322025299,0.5681818127632141,GFAP_in_HC
STAPLE,2377-2_mask.png,test,2,0.8678738755017489,0.3000492751598358,0.5319148898124695,GFAP_in_HC
STAPLE,2377-2_mask.png,test,3,0.8683513276918589,0.3716946840286255,0.6190476417541504,GFAP_in_HC
STAPLE,2378-2_mask.png,test,1,0.7332948939714268,0.028113016858696938,0.1230769231915474,GFAP_in_HC
STAPLE,2378-2_mask.png,test,2,0.7954406216747816,0.20582997798919678,0.375,GFAP_in_HC
STAPLE,2378-2_mask.png,test,3,0.8763377416073245,0.3296029269695282,0.44999998807907104,GFAP_in_HC
STAPLE,2378-3_mask.png,test,1,0.7352748416152722,0.09645532071590424,0.20454545319080353,GFAP_in_HC
STAPLE,2378-3_mask.png,test,2,0.8415528523121515,0.269946813583374,0.44117647409439087,GFAP_in_HC
STAPLE,2378-3_mask.png,test,3,0.8062520351676978,0.291462242603302,0.529411792755127,GFAP_in_HC
STAPLE,2375-2_mask.png,train,1,0.7924442609413707,0.08112512528896332,0.22033898532390594,GFAP_in_HC
STAPLE,2375-2_mask.png,train,2,0.9117019834079114,0.3143679201602936,0.43589743971824646,GFAP_in_HC
STAPLE,2375-2_mask.png,train,3,0.8142148760330579,0.12263766676187515,0.19718310236930847,GFAP_in_HC
STAPLE,2375-3_mask.png,train,1,0.8118782377481318,0.10329189151525497,0.18644067645072937,GFAP_in_HC
STAPLE,2375-3_mask.png,train,2,0.8663357149485015,0.23883266746997833,0.3552631437778473,GFAP_in_HC
STAPLE,2375-3_mask.png,train,3,0.8692920397763816,0.22779349982738495,0.36538460850715637,GFAP_in_HC
STAPLE,2376-0_mask.png,train,1,0.8076718013746992,0.19562534987926483,0.4749999940395355,GFAP_in_HC
STAPLE,2376-0_mask.png,train,2,0.8925933936903253,0.32405829429626465,0.5,GFAP_in_HC
STAPLE,2376-0_mask.png,train,3,0.8690087371719416,0.356768935918808,0.6153846383094788,GFAP_in_HC
STAPLE,2376-1_mask.png,train,1,0.8624958800263678,0.21039393544197083,0.4000000059604645,GFAP_in_HC
STAPLE,2376-1_mask.png,train,2,0.8948884557071692,0.27580526471138,0.4615384638309479,GFAP_in_HC
STAPLE,2376-1_mask.png,train,3,0.8789755136504361,0.2213687151670456,0.42424243688583374,GFAP_in_HC
STAPLE,2377-1_mask.png,train,1,0.8032713532862682,0.13420605659484863,0.302325576543808,GFAP_in_HC
STAPLE,2377-1_mask.png,train,2,0.8750112077467945,0.19783058762550354,0.3333333432674408,GFAP_in_HC
STAPLE,2377-1_mask.png,train,3,0.8980295067251589,0.18920935690402985,0.30000001192092896,GFAP_in_HC
STAPLE,2377-3_mask.png,train,1,0.8106235281062353,0.1748126596212387,0.3469387888908386,GFAP_in_HC
STAPLE,2377-3_mask.png,train,2,0.8568902032414253,0.27569231390953064,0.39344263076782227,GFAP_in_HC
STAPLE,2377-3_mask.png,train,3,0.8488622576571669,0.2974926829338074,0.4583333432674408,GFAP_in_HC
STAPLE,2378-0_mask.png,train,1,0.7138979296933028,0.04875631257891655,0.14754098653793335,GFAP_in_HC
STAPLE,2378-0_mask.png,train,2,0.82456943753111,0.22776813805103302,0.38596490025520325,GFAP_in_HC
STAPLE,2378-0_mask.png,train,3,0.8526066586096717,0.35486558079719543,0.5094339847564697,GFAP_in_HC
STAPLE,2378-1_mask.png,train,1,0.6971321472375728,0.01503009907901287,0.050847455859184265,GFAP_in_HC
STAPLE,2378-1_mask.png,train,2,0.8444282179221938,0.15645663440227509,0.290909081697464,GFAP_in_HC
STAPLE,2378-1_mask.png,train,3,0.8658802143492833,0.3343290686607361,0.46000000834465027,GFAP_in_HC
STAPLE,2379-0_mask.png,train,1,0.7851375236835746,0.09150935709476471,0.23529411852359772,GFAP_in_HC
STAPLE,2379-0_mask.png,train,2,0.8883603008204193,0.2811666429042816,0.4153846204280853,GFAP_in_HC
