dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,dice_score
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1599,0.9810393258426967
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1444,0.9880973959277386
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1283,0.9761785773779776
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1385,0.9643874643874644
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1582,0.9882199521843078
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1237,0.8355348355348357
PV_in_HC,unet_2019,0,1,1,2,2,1377,0.9499424397602318
PV_in_HC,unet_2019,0,1,1,2,2,1608,0.9632728185392788
PV_in_HC,unet_2019,0,1,1,2,2,1418,0.967412642324303
PV_in_HC,unet_2019,0,1,1,2,2,1599,0.9633648114660773
PV_in_HC,unet_2019,0,1,1,2,2,1444,0.9579951957410894
PV_in_HC,unet_2019,0,1,1,2,2,1283,0.8868378812199036
PV_in_HC,unet_2019,0,1,1,2,2,1385,0.9801601113818308
PV_in_HC,unet_2019,0,1,1,2,2,1582,0.9652447152923253
PV_in_HC,unet_2019,0,1,1,2,2,1237,0.957375210319686
PV_in_HC,unet_2019,1,1,1,3,3,1377,0.9495931196729531
PV_in_HC,unet_2019,1,1,1,3,3,1608,0.9261378191443942
PV_in_HC,unet_2019,1,1,1,3,3,1418,0.9628401030454883
PV_in_HC,unet_2019,1,1,1,3,3,1599,0.9609688672414929
PV_in_HC,unet_2019,1,1,1,3,3,1444,0.9595978636506441
PV_in_HC,unet_2019,1,1,1,3,3,1283,0.8502741459299874
PV_in_HC,unet_2019,1,1,1,3,3,1385,0.974853599724423
PV_in_HC,unet_2019,1,1,1,3,3,1582,0.9597867763957729
PV_in_HC,unet_2019,1,1,1,3,3,1237,0.9593810444874276
PV_in_HC,unet_2019,2,2,2,3,3,1377,0.9426139912554653
PV_in_HC,unet_2019,2,2,2,3,3,1608,0.931052358735096
PV_in_HC,unet_2019,2,2,2,3,3,1418,0.9640170333569908
PV_in_HC,unet_2019,2,2,2,3,3,1599,0.9626705913834627
PV_in_HC,unet_2019,2,2,2,3,3,1444,0.9532829898886471
PV_in_HC,unet_2019,2,2,2,3,3,1283,0.8431116905693177
PV_in_HC,unet_2019,2,2,2,3,3,1385,0.98
PV_in_HC,unet_2019,2,2,2,3,3,1582,0.9671929658693392
PV_in_HC,unet_2019,2,2,2,3,3,1237,0.9590742308777871
PV_in_HC,nnunet,0,1,1,2,2,1377,0.9853399763432382
PV_in_HC,nnunet,0,1,1,2,2,1608,0.9935135135135136
PV_in_HC,nnunet,0,1,1,2,2,1418,0.9843540155788343
PV_in_HC,nnunet,0,1,1,2,2,1599,0.9863319059071978
PV_in_HC,nnunet,0,1,1,2,2,1444,0.9904202174551866
PV_in_HC,nnunet,0,1,1,2,2,1283,0.9534669854699283
PV_in_HC,nnunet,0,1,1,2,2,1385,0.9937023533311236
PV_in_HC,nnunet,0,1,1,2,2,1582,0.9899041533546326
PV_in_HC,nnunet,0,1,1,2,2,1237,0.9558767592240396
PV_in_HC,nnunet,1,1,1,3,3,1377,0.9838159830624036
PV_in_HC,nnunet,1,1,1,3,3,1608,0.9914239357181489
PV_in_HC,nnunet,1,1,1,3,3,1418,0.9876576245108205
PV_in_HC,nnunet,1,1,1,3,3,1599,0.9899479659413434
PV_in_HC,nnunet,1,1,1,3,3,1444,0.9904337108985269
PV_in_HC,nnunet,1,1,1,3,3,1283,0.9542382699362811
PV_in_HC,nnunet,1,1,1,3,3,1385,0.9940239043824701
PV_in_HC,nnunet,1,1,1,3,3,1582,0.9905144419757307
PV_in_HC,nnunet,1,1,1,3,3,1237,0.9795842613214552
PV_in_HC,nnunet,2,2,2,3,3,1377,0.9892867414437734
PV_in_HC,nnunet,2,2,2,3,3,1608,0.9915784593989029
PV_in_HC,nnunet,2,2,2,3,3,1418,0.9860806848437869
PV_in_HC,nnunet,2,2,2,3,3,1599,0.984997352473966
PV_in_HC,nnunet,2,2,2,3,3,1444,0.9902398871119473
PV_in_HC,nnunet,2,2,2,3,3,1283,0.9314456035767512
PV_in_HC,nnunet,2,2,2,3,3,1385,0.9923511805786498
PV_in_HC,nnunet,2,2,2,3,3,1582,0.9897232527397551
PV_in_HC,nnunet,2,2,2,3,3,1237,0.9641065225781552
PV_in_HC,deepflash2,0,1,1,2,2,1599,0.9866592241138711
PV_in_HC,deepflash2,0,1,1,2,2,1582,0.9907853580184293
PV_in_HC,deepflash2,0,1,1,2,2,1237,0.9304643261608154
PV_in_HC,deepflash2,0,1,1,2,2,1283,0.9935181850918258
PV_in_HC,deepflash2,0,1,1,2,2,1444,0.9912785726500599
PV_in_HC,deepflash2,0,1,1,2,2,1377,0.9815656066890512
PV_in_HC,deepflash2,0,1,1,2,2,1385,0.9947848761408083
PV_in_HC,deepflash2,0,1,1,2,2,1418,0.9912806366720568
PV_in_HC,deepflash2,1,1,1,3,3,1599,0.9897987624728246
PV_in_HC,deepflash2,1,1,1,3,3,1582,0.9919232710752146
PV_in_HC,deepflash2,1,1,1,3,3,1237,0.9871023215821152
PV_in_HC,deepflash2,1,1,1,3,3,1283,0.99457111834962
PV_in_HC,deepflash2,1,1,1,3,3,1444,0.9939532230462064
PV_in_HC,deepflash2,1,1,1,3,3,1377,0.9828616715649043
PV_in_HC,deepflash2,1,1,1,3,3,1385,0.8951541850220265
PV_in_HC,deepflash2,1,1,1,3,3,1418,0.9912800837111962
PV_in_HC,deepflash2,2,2,2,3,3,1599,0.9905702739110912
PV_in_HC,deepflash2,2,2,2,3,3,1582,0.9894745705624789
PV_in_HC,deepflash2,2,2,2,3,3,1237,0.9288817745254974
PV_in_HC,deepflash2,2,2,2,3,3,1283,0.9927693420101229
PV_in_HC,deepflash2,2,2,2,3,3,1444,0.9910627881823875
PV_in_HC,deepflash2,2,2,2,3,3,1377,0.9899076800900036
PV_in_HC,deepflash2,2,2,2,3,3,1385,0.8944135712196549
PV_in_HC,deepflash2,2,2,2,3,3,1418,0.9923741738688358
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1377,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1608,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1418,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1599,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1444,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1283,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1385,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1582,1.0
cFOS_in_HC,cellpose,0,1,cyto2,2,cyto2,1237,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1377,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1608,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1418,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1599,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1444,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1283,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1385,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1582,1.0
cFOS_in_HC,cellpose,1,1,cyto2,3,cyto2,1237,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1377,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1608,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1418,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1599,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1444,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1283,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1385,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1582,1.0
cFOS_in_HC,cellpose,2,2,cyto2,3,cyto2,1237,1.0
cFOS_in_HC,cellpose_single,0,1,1,2,2,1377,0.8801863767472821
cFOS_in_HC,cellpose_single,0,1,1,2,2,1608,0.9393904005605511
cFOS_in_HC,cellpose_single,0,1,1,2,2,1418,0.9404776048473328
cFOS_in_HC,cellpose_single,0,1,1,2,2,1599,0.9076876513317191
cFOS_in_HC,cellpose_single,0,1,1,2,2,1444,0.9184935356942102
cFOS_in_HC,cellpose_single,0,1,1,2,2,1283,0.9464745730369241
cFOS_in_HC,cellpose_single,0,1,1,2,2,1385,0.9599854492542743
cFOS_in_HC,cellpose_single,0,1,1,2,2,1582,0.9562245728234338
cFOS_in_HC,cellpose_single,0,1,1,2,2,1237,0.9317298128221358
cFOS_in_HC,cellpose_single,1,1,1,3,3,1377,0.9053647873212497
cFOS_in_HC,cellpose_single,1,1,1,3,3,1608,0.935611510791367
cFOS_in_HC,cellpose_single,1,1,1,3,3,1418,0.9567632850241545
